axis,wHoff,wJerk,rHoff,rJerk,nPeaks,T,D,Vm
2,0.440516622781687,0.340863935302209,0.581396575075063,0.616247216144786,2,0.341681700000001,0.005276098808064,0.015216623962052
2,0.836754344091484,0.563236156183760,0.380909684061457,0.487605148899399,3,0.375016500000001,0.004748665505568,0.012513105374933
2,1.122619960927076,0.973313562443568,0.007605458867728,0.033429038279148,2,0.216676199999995,0.004955396060545,0.022117277880663
2,0.421978576614137,0.352189478265452,0.661598293148922,0.652141115683867,2,0.275012099999998,0.014890952757445,0.052615533911817
2,0.274705573212584,0.126178326324753,0.891436546629990,0.949864978084590,1,0.183341400000003,0.012312832453491,0.064177674821264
2,0.808460387150208,0.531126074592381,0.467355791005009,0.573452484344941,3,0.391683900000004,0.005803313767351,0.014614594155901
2,0.958484443231523,0.663955717981370,0.229276785546017,0.334334203487877,4,0.425018699999995,0.005423548016545,0.012642123395748
2,0.477936678271319,0.339213413964219,0.534950120933137,0.580068163230213,3,0.383350199999995,0.003962550743905,0.010272556083088
2,0.562106756504722,0.580811318765134,0.549126909721822,0.530482300357318,1,0.225009900000003,0.006444579689042,0.027465226243190
2,0.695785893639068,0.538544272966247,0.196100933919087,0.301312759966436,2,0.208342500000001,0.003466059972342,0.015864611761560
2,0.744708933452680,0.661146822617892,0.266032117429189,0.318130324275014,2,0.183341399999989,0.003418489054113,0.017815815007763
2,0.644452848381022,0.504970375953982,0.192619084173054,0.265836259840615,4,0.483354599999998,0.008371506751906,0.017036050402798
2,0.577134618657261,0.422139904033349,0.386563052463660,0.486710670046208,1,0.175007699999995,0.004104539985393,0.022628392461765
2,0.293445364227882,0.136479008976451,0.935310695235282,0.958520424101566,1,0.133339200000009,0.003434999258289,0.024463417197072
2,0.228427441014972,0.232378549157475,0.909791449350444,0.897004882174495,1,0.108338099999997,0.004797091924538,0.041135513081464
2,0.251364260728893,0.117174496083091,0.916659360767262,0.958132756081704,1,0.150006599999998,0.006302635301449,0.039726180001644
2,0.285797897168794,0.356556991844956,0.841880475851267,0.790161698647311,2,0.383350200000000,0.003378637165241,0.008547177299639
2,0.748898288355520,0.500603555306996,0.451223061724205,0.536493504447900,4,0.641694900000000,0.013367931702819,0.020672650314984
2,0.557085881174901,0.367741916437085,0.695959131381625,0.706235404490059,5,0.808368900000001,0.018122512470782,0.022271277309064
2,0.546834819832609,0.437550129743315,0.457257086579591,0.517195190658165,2,0.441686100000000,0.008492032602781,0.018890737344715
2,0.608724937045813,0.420423127475521,0.293969250498667,0.421812164649333,3,0.475020900000001,0.008588705520499,0.017833115220029
2,0.560633631125901,0.408125870552420,0.397569885030414,0.514175906454766,3,0.391683900000000,0.004959920539539,0.012408481347373
2,0.263584374741489,0.395992901114521,0.892212727251106,0.807842939483238,3,0.700030800000000,0.007819063368423,0.010987572991856
2,0.289625474199934,0.215590928283350,0.918370628984824,0.879085128903657,1,0.208342499999997,0.003469930881965,0.016338973459343
2,0.607783907284194,0.520213278976638,0.310871982074676,0.323025024018034,1,0.316680599999998,0.004780308068205,0.014534854507478
2,0.606935812714816,0.420339629932575,0.267247913427459,0.367537166915006,8,1.083380999999999,0.021557957102074,0.019708605150690
2,0.689276057581233,0.474858141134117,0.810998552712889,0.752336213116539,1,0.258344699999999,0.003032484410335,0.011515532886298
2,0.526621692966518,0.360847471677401,0.475855509180238,0.530064214844733,4,0.441686099999998,0.004686124366299,0.010522974840323
2,0.562345299920798,0.534598831491524,0.459638608680195,0.445111175363106,2,0.375016500000001,0.005769606744571,0.015003313968601
2,0.253628048543893,0.282803561359331,0.847757441968826,0.807973595270303,4,0.541690500000001,0.008210875502436,0.014793978205150
2,0.575341818676068,0.382050566559622,0.595055029027167,0.657031359181989,2,0.283345799999999,0.003632625384792,0.012523626291397
2,0.513362365262880,0.500161118840127,0.575298312460883,0.559048190987020,1,0.258344700000002,0.003348455699848,0.012568600087984
2,0.379932044475126,0.316794177857156,0.681625954436387,0.715634895271367,5,0.833370000000002,0.012832799773120,0.015226617919795
2,0.869650617080017,0.549429055460147,0.791268712081004,0.807353653532668,4,0.341681700000002,0.006332176339541,0.018326102114787
