axis,wHoff,wJerk,rHoff,rJerk,nPeaks,T,D,Vm
1,0.256939030965046,0.099821011296187,0.916194544657195,0.965399279926646,1,0.291679500000000,0.030518680708589,0.101455333770656
1,0.185693631090471,0.047743886591374,0.968866361766617,0.993903077243271,1,0.458353500000000,0.193985891708560,0.415775431212905
1,0.591177684429004,0.422467798588284,0.252136356649638,0.352235898399774,3,0.883372200000000,0.413172489001041,0.463184654554008
1,0.296128174086319,0.094876610393189,0.909135124187595,0.979542367127378,2,0.600026400000000,0.445157824143163,0.731970700837110
1,0.179626108870482,0.113870843522436,0.958507631435948,0.964062562622993,2,0.641694900000000,0.365373996098925,0.561921114039244
1,0.569905123555730,0.388241647819366,0.330308142238496,0.461178097516396,3,0.641694900000000,0.262638839052971,0.403723408705395
1,0.325512879441955,0.150294502421546,0.854787957815740,0.924490098897008,1,0.400017600000000,0.238507873084130,0.584303246110606
1,0.181843482920179,0.042288006975577,0.972880504341568,0.995384495030809,1,0.341681700000000,0.273544999188936,0.781674175885316
1,0.186008361208621,0.058860517605496,0.972157655508655,0.989954055466988,1,0.233343600000000,0.084798977962392,0.351335039786316
1,0.274219294124186,0.199207249621574,0.865064235480146,0.885240279921353,1,0.216676200000000,0.026984008615831,0.119840337315488
1,0.629826847144767,0.586096388774377,0.359740869380658,0.364190312860079,2,0.883372200000000,0.417115119310451,0.467496145464186
1,0.165868764279614,0.068310115036326,0.978087679124210,0.987764384239995,1,0.658362299999999,0.549457515975027,0.824272703130702
1,0.186027871944750,0.084019796197005,0.968119914607311,0.976983715239807,1,0.533356800000000,0.271349932660182,0.501244036472775
1,0.204436659835036,0.146060981085633,0.928511497692212,0.938074648686383,1,0.625027500000001,0.373409706767343,0.589669652647596
1,0.189847947680735,0.219870620371067,0.923034941327153,0.895325746669079,1,0.850037400000001,0.512545518457924,0.596999688692777
1,0.195400651642966,0.081867361941940,0.952567741366265,0.980094156959950,1,0.575025300000000,0.406480947393458,0.696965374234377
1,0.474329084748227,0.354114385567393,0.504506857803094,0.560975737872728,4,0.741699299999999,0.152305306603719,0.203053194602566
1,0.198414088094161,0.082659478564249,0.961659167704014,0.983226478488579,1,0.108338100000001,0.003567751971832,0.030541850856926
1,0.407040582181794,0.340042321909139,0.635116852350567,0.653213580893478,2,0.766700400000000,0.416655383171276,0.537734983536006
