Iteracao,x1,x2,x3,x4,x5,x6,x7,x8,x9,Integral
1,2.45213527500559,0.283574445694813,-3.73658154447908,4.8106457840899,-6.05747586127773,3.54540560858977,1.5434054335165,-2.72896722117484,0.887858080035071,11902.5443805798
10,2.51273437019873,-0.331563530389461,-0.969778331261717,-1.93775645291614,1.92749460086078,1.90719049580718,-4.26633561609238,2.82764334460747,-0.669628880814462,11893.3864517029
100,2.36845100337907,0.004234865051234,-0.911197722649573,-2.9196705502594,3.93669290671252,-1.51313861443908,-0.166127229854125,0.21318568097861,-0.012430338919266,11953.4391749778
1000,2.51734012537719,0.119203130323508,-2.3421577388176,-2.22584017825202,8.11346338827824,-8.14654573591014,2.68598003618011,0.822827991140894,-0.544271018320176,11906.2870726654
101,2.58295598305095,0.179698874744451,-3.60109155306654,0.951569036063974,5.49721980029377,-9.95739486850461,7.84100511103607,-2.8715406672728,0.377578283654739,11941.0409361968
102,2.55954460058128,-0.706901058176456,0.247305676033378,-4.33385645454448,7.10878619378565,-8.82298727842388,9.1222487256808,-5.55328157212545,1.37914116718916,11957.6679757017
103,2.49482820386169,0.384164474023657,-3.42706006500897,0.038432179968341,6.10587073235274,-9.15242799354646,6.45012588139367,-2.14402817040586,0.250094757361206,11924.0749645284
104,2.49880808006284,0.588709994842605,-5.21124638568523,6.73105361156522,-7.29949694739917,5.86372275873795,-2.72415861805686,0.555912401380898,-0.003304895448245,11941.1722000135
105,2.44680635252994,0.799960089906546,-5.81917294235677,7.2247852746426,-4.7793528271415,-1.75112266680309,6.171347083935,-4.3549750275525,1.06172466283976,11959.2106931907
106,2.5639173651551,-0.542450571855699,-0.657213096308078,-1.8375029769739,1.51608075905983,0.735853925885727,-0.97005293815559,0.084829606881791,0.106537926310825,11922.5262796725
107,2.58476547865874,-0.57672989685209,-2.64076879482246,5.15035364858473,-5.2945519299145,-2.53910584264028,9.67074077659847,-7.09412633091225,1.73942289129965,12081.3127397822
108,2.43284710916769,-0.051503953053205,-2.81713532186356,4.08552934240131,-4.76253727936656,-0.56732445608796,7.07367421814249,-6.02230993334912,1.62876027400893,11951.3741114429
